Country,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Income Group,Area (KM²),Density (KM²),Europe
Albania,-0.013,-0.106,-0.195,-0.069,-0.288,-0.139,-0.211,-0.683,0.545,-0.814,0.203,-0.414,-0.351,0.173,-0.128,-0.27,-0.103,0.569,-0.106,0.37,-0.066,0.795,-0.269,0.106,0.076,1.33,-0.172,-0.038,0.075,0.795,0.67,1.065,1.532,0.492,0.97,0.444,0.189,0.345,1.316,0.978,0.91,1.191,1.055,1.487,1.333,1.198,1.569,1.464,1.121,2.028,1.675,1.498,1.536,1.518,Upper middle income,28748.0,103,Europe
Austria,-0.126,-0.55,-0.06,0.103,-0.033,0.314,0.86,0.216,0.499,-0.476,-0.112,-0.274,0.277,0.384,1.062,-0.249,-0.568,0.319,-0.263,0.82,1.104,1.262,0.125,1.248,0.527,1.958,0.939,-0.203,0.514,1.343,0.986,1.769,1.501,1.531,1.464,0.829,0.628,0.907,2.137,1.582,1.544,0.656,1.373,1.783,1.098,2.409,2.167,2.096,1.741,2.524,2.37,2.315,1.395,2.498,High income,83871.0,109,Europe
Belgium,0.1592645502645502,0.0921808510638297,-0.201078947368421,-0.0843089005235602,0.2291614583333333,-0.1629371727748691,-0.024090909090909,-0.2455531914893617,0.1652554347826086,0.0699946808510638,0.2338404255319149,0.2468421052631579,0.1772526315789473,0.1769685863874345,0.343984126984127,0.0798663101604278,0.0718342245989304,0.1506772486772487,0.4050317460317459,0.4897301587301587,0.2557724867724867,0.554813829787234,0.3676310160427807,0.236743961352657,0.2153509615384615,0.6100096618357488,0.6282535885167464,0.278866028708134,0.5434514563106796,0.9711483253588516,0.7431105769230769,1.484,1.336,1.398,1.526,1.089,1.197,1.404,1.883,1.256,1.158,0.233,1.289,1.13,0.463,2.417,1.371,1.882,1.731,2.196,2.081,2.572,1.203,2.807,High income,30528.0,386,Europe
Bosnia and Herzegovina,0.1592645502645502,0.0921808510638297,-0.201078947368421,-0.0843089005235602,0.2291614583333333,-0.1629371727748691,-0.024090909090909,-0.2455531914893617,0.1652554347826086,0.0699946808510638,0.2338404255319149,0.2468421052631579,0.1772526315789473,0.1769685863874345,0.343984126984127,0.0798663101604278,0.0718342245989304,0.1506772486772487,0.4050317460317459,0.4897301587301587,0.2557724867724867,0.554813829787234,0.3676310160427807,0.659,0.248,1.691,0.286,-0.043,0.112,1.059,0.612,1.525,1.527,1.141,1.088,0.584,0.124,0.594,1.861,1.373,1.379,0.954,1.117,1.756,1.319,1.823,1.813,1.673,1.419,2.275,1.987,1.88,1.598,2.091,Upper middle income,51209.0,63,Europe
Bulgaria,-0.485,0.205,-0.139,0.136,-0.426,-0.198,0.39,-0.838,0.563,-0.71,0.165,-0.448,-0.043,-0.13,0.389,-0.022,-0.605,0.36,-0.484,0.128,0.405,0.797,-0.161,0.149,-0.322,1.583,0.221,-0.36,-0.336,0.775,0.696,1.184,1.648,0.854,0.181,0.533,0.215,0.571,1.883,1.177,1.291,1.361,0.422,1.678,1.476,1.196,1.438,1.899,0.954,2.192,2.112,2.037,1.629,1.831,Upper middle income,110879.0,62,Europe
Cyprus,0.165,0.495,-0.256,-0.625,-0.379,-0.177,-0.225,-0.713,0.15,-0.028,0.607,-0.295,0.088,-0.337,-0.805,0.013,-0.068,0.249,-0.26,0.044,0.085,0.069,0.379,-0.928,-0.421,1.047,0.058,0.253,0.008,0.961,1.079,0.618,1.161,0.836,0.585,0.614,0.335,0.622,0.814,1.031,0.983,2.03,0.715,0.97,1.238,1.048,1.139,1.493,0.776,2.119,1.524,1.668,1.994,1.237,High income,9251.0,136,Europe
Denmark,-0.135,-1.204,0.261,0.289,0.67,0.58,1.335,0.301,-0.014,0.145,-1.191,-0.441,0.3,0.002,1.06,0.379,-1.004,-0.444,-0.985,0.925,1.803,1.843,0.616,1.452,0.235,0.967,1.304,-0.753,0.651,0.869,1.334,1.719,1.044,1.652,0.707,1.032,1.282,1.349,2.136,1.853,1.32,-0.199,0.677,1.139,0.397,2.677,1.516,1.852,1.619,2.109,2.18,2.633,1.69,2.219,High income,43094.0,148,Europe
Finland,-0.478,-0.629,-0.452,0.933,1.138,1.121,1.893,-0.877,-0.227,-0.526,-0.755,-0.38,-0.24,-0.155,0.964,0.757,-1.177,-0.181,-1.652,0.579,2.179,1.249,1.138,1.165,0.937,0.146,1.701,0.137,0.783,0.071,1.159,2.024,1.365,1.171,0.713,1.233,2.201,1.204,1.946,2.13,1.695,0.242,1.354,1.54,1.424,2.591,2.613,2.151,1.487,2.157,1.452,3.317,1.938,2.062,High income,338424.0,18,Europe
France,0.024,-0.092,-0.161,-0.325,0.059,-0.081,0.483,0.368,0.015,-0.216,-0.187,-0.217,0.097,0.812,0.721,-0.082,-0.338,-0.003,0.001,0.773,1.278,1.591,0.257,0.659,0.325,1.547,1.326,0.188,1.24,0.947,1.199,1.175,1.391,1.054,1.8,0.969,1.02,1.306,1.407,0.992,1.212,0.395,1.534,1.22,0.714,2.049,1.612,1.794,1.796,2.06,2.023,2.551,1.337,2.929,High income,551695.0,118,Europe
Germany,-0.111,-0.832,0.032,-0.014,0.188,0.318,1.099,0.47,0.283,-0.173,-0.64,-0.186,0.296,0.439,1.071,-0.11,-0.8,-0.007,-0.561,0.893,1.491,1.571,0.286,1.228,0.31,1.625,1.307,-0.699,0.558,1.153,1.367,1.764,1.292,1.491,1.258,0.998,1.025,1.254,2.088,1.542,1.282,0.196,1.121,1.349,0.583,2.519,1.674,1.988,1.653,2.393,2.332,2.516,1.325,2.596,High income,357114.0,238,Europe
Greece,-0.09,0.269,-0.222,-0.177,-0.357,-0.193,-0.25,-0.916,0.33,-0.555,0.179,-0.379,-0.191,-0.243,-0.493,-0.123,-0.063,0.312,-0.395,0.129,-0.204,0.368,-0.197,-0.528,-0.328,1.06,-0.043,-0.161,-0.195,0.632,0.8,0.679,1.314,0.435,0.385,0.337,0.213,0.254,1.08,0.881,0.771,1.584,0.394,1.235,1.317,1.06,0.904,1.561,0.642,1.905,1.381,1.307,1.655,1.04,High income,131990.0,80,Europe
Iceland,-0.9,-0.617,-0.005,0.777,-0.099,0.522,-0.42,0.377,-0.258,0.054,-1.239,0.407,-0.909,-0.258,-0.863,0.204,0.164,-0.077,0.685,-0.088,-0.174,0.169,0.766,0.231,0.225,-0.108,-0.33,0.562,0.436,0.238,0.471,0.274,0.584,0.784,1.784,1.235,0.448,1.032,1.101,0.753,0.907,1.147,0.959,0.667,0.687,1.66,0.419,1.411,1.694,0.82,1.339,0.786,0.921,1.201,High income,103000.0,4,Europe
Ireland,-0.265,0.06,0.342,-0.268,0.362,-0.211,0.701,0.561,-0.279,0.257,-0.687,-0.057,0.377,0.154,0.408,0.336,-0.439,-0.726,-0.143,0.246,1.054,0.829,0.199,0.446,0.064,0.282,1.198,-0.006,0.977,0.937,1.077,0.577,0.551,0.83,1.024,0.9,1.175,1.159,1.345,0.836,0.804,-0.104,0.559,0.705,0.568,1.357,0.449,1.04,1.264,0.783,1.201,1.075,1.019,1.764,High income,70273.0,73,Europe
Italy,-0.107,-0.153,-0.149,-0.132,0.034,-0.115,0.075,-0.32,0.283,-0.537,0.022,-0.421,-0.279,0.511,0.384,-0.468,0.117,0.436,0.192,0.842,0.417,1.132,0.029,0.542,0.527,1.513,0.418,0.233,0.931,0.969,0.918,1.243,1.533,0.913,1.526,0.746,0.563,0.84,1.552,1.133,1.234,0.755,1.253,1.543,1.006,1.638,1.704,1.716,1.606,1.834,1.698,1.902,1.569,2.135,High income,301336.0,199,Europe
Latvia,0.1592645502645502,0.0921808510638297,-0.201078947368421,-0.0843089005235602,0.2291614583333333,-0.1629371727748691,-0.024090909090909,-0.2455531914893617,0.1652554347826086,0.0699946808510638,0.2338404255319149,0.2468421052631579,0.1772526315789473,0.1769685863874345,0.343984126984127,0.0798663101604278,0.0718342245989304,0.1506772486772487,0.4050317460317459,0.4897301587301587,0.2557724867724867,0.554813829787234,0.3676310160427807,1.587,0.401,0.689,1.626,-0.411,0.766,0.657,1.562,2.022,1.83,1.73,0.253,1.027,1.355,1.087,2.206,2.403,1.524,0.704,1.151,1.408,1.082,2.33,2.166,1.946,1.503,2.36,2.462,3.55,1.987,1.953,High income,64559.0,29,Europe
Liechtenstein,-0.015,-0.553,-0.078,0.077,-0.024,0.177,0.68,0.293,0.272,-0.354,-0.081,-0.159,0.045,0.544,0.942,-0.371,-0.336,0.383,-0.045,0.929,1.089,1.308,0.184,1.09,0.635,1.925,0.9,-0.033,0.942,1.208,0.979,1.464,1.44,1.382,1.67,0.899,0.663,0.955,1.931,1.385,1.405,0.48,1.657,1.611,0.927,2.232,2.046,2.028,1.795,2.26,2.079,2.367,1.232,2.534,High income,160.0,247,Europe
