currency,prod_ani,geo,TIME_PERIOD,OBS_VALUE,prod_apr
EUR,,Germany,1969,43.95,4440.0
EUR,,Germany,1969,2.07,5315.0
EUR,,Germany,1969,34.52,4162.0
EUR,,Germany,1969,86.23,5610.0
EUR,,Germany,1969,54.99,5533.0
EUR,,Germany,1969,84.26,5435.0
EUR,,Germany,1969,38.36,4161.0
EUR,,Germany,1969,21.97,4821.0
EUR,,Germany,1969,49.15,5531.0
EUR,,Germany,1969,30.38,4171.0
EUR,,Germany,1969,4.66,5180.0
EUR,,Germany,1969,36.7,4871.0
EUR,,Germany,1969,32.51,4933.0
EUR,,Germany,1969,47.62,5532.0
EUR,,Germany,1969,28.03,4172.0
EUR,,Germany,1969,4.71,5185.0
EUR,,Germany,1969,25.02,4173.0
EUR,,Germany,1969,114.8,4234.0
EUR,,Germany,1969,64.77,5571.0
EUR,,Germany,1969,33.53,5572.0
EUR,,Germany,1969,65.91,5511.0
EUR,,Germany,1969,20.45,5428.0
EUR,,Germany,1969,178.3,4235.0
EUR,,Germany,1969,55.37,4150.0
EUR,,Germany,1969,21.59,5421.0
EUR,,Germany,1970,71.07,5571.0
EUR,,Germany,1970,46.32,4440.0
EUR,,Germany,1970,56.04,5533.0
EUR,,Germany,1970,57.99,4150.0
EUR,,Germany,1970,31.22,4171.0
EUR,,Germany,1970,22.69,5421.0
EUR,,Germany,1970,1.91,5315.0
EUR,,Germany,1970,4.77,5180.0
EUR,,Germany,1970,73.39,5610.0
EUR,,Germany,1970,35.12,4162.0
EUR,,Germany,1970,21.05,5428.0
EUR,,Germany,1970,122.32,4234.0
EUR,,Germany,1970,4.87,5185.0
EUR,,Germany,1970,25.38,4173.0
EUR,,Germany,1970,37.86,5572.0
EUR,,Germany,1970,73.26,5511.0
EUR,,Germany,1970,37.04,4871.0
EUR,,Germany,1970,31.57,4933.0
EUR,,Germany,1970,50.71,5532.0
EUR,,Germany,1970,28.77,4172.0
EUR,,Germany,1970,87.83,5435.0
EUR,,Germany,1970,22.14,4821.0
EUR,,Germany,1970,51.66,5531.0
EUR,,Germany,1970,187.92,4235.0
EUR,,Germany,1970,39.57,4161.0
EUR,,Belgium,1971,57.39,4733.0
EUR,,United Kingdom,1971,39.25,4172.0
EUR,,United Kingdom,1971,86.49,5516.0
EUR,,Luxembourg,1971,65.45,4162.0
EUR,,Germany,1971,10.53,5185.0
EUR,,United Kingdom,1971,58.52,4871.0
EUR,,Netherlands,1971,10.44,5180.0
EUR,,Italy,1971,524.52,4235.0
EUR,,Germany,1971,121.51,5533.0
EUR,,France,1971,117.29,5573.0
EUR,,Netherlands,1971,191.11,4210.0
EUR,,France,1971,109.14,5534.0
EUR,,France,1971,71.55,4232.0
EUR,,Netherlands,1971,95.97,5532.0
EUR,,France,1971,75.08,4162.0
EUR,,Belgium,1971,104.14,4150.0
EUR,,Netherlands,1971,98.7,5415.0
EUR,,Germany,1971,68.57,4871.0
EUR,,Netherlands,1971,39.43,4821.0
EUR,,Belgium,1971,8.87,5185.0
EUR,,Netherlands,1971,88.31,4732.0
EUR,,Netherlands,1971,41.28,5421.0
EUR,,Italy,1971,76.47,4871.0
EUR,,Netherlands,1971,118.93,5515.0
EUR,,Italy,1971,88.96,4732.0
EUR,,Belgium,1971,49.25,5428.0
EUR,,France,1971,90.26,4732.0
EUR,,Netherlands,1971,73.47,4171.0
EUR,,Netherlands,1971,59.41,4233.0
EUR,,Luxembourg,1971,63.77,4171.0
EUR,,Italy,1971,110.09,5576.0
EUR,,United Kingdom,1971,9.17,5180.0
EUR,,Belgium,1971,57.68,4172.0
EUR,,Germany,1971,52.31,4173.0
EUR,,United Kingdom,1971,88.45,5515.0
EUR,,Italy,1971,78.76,4162.0
EUR,,Belgium,1971,46.3,4173.0
EUR,,France,1971,75.88,5021.0
EUR,,Germany,1971,244.67,4234.0
EUR,,Italy,1971,205.11,5544.0
EUR,,Belgium,1971,70.56,4171.0
EUR,,Denmark,1971,32.38,4821.0
EUR,,France,1971,285.51,5565.0
EUR,,Germany,1971,10.34,5180.0
EUR,,United Kingdom,1971,25.57,4933.0
EUR,,Italy,1971,56.26,4172.0
EUR,,Netherlands,1971,121.94,5538.0
EUR,,Denmark,1971,42.44,4172.0
EUR,,Netherlands,1971,52.93,4733.0
EUR,,France,1971,10.4,5180.0
EUR,,Denmark,1971,8.26,5180.0
EUR,,United Kingdom,1971,137.99,5563.0
EUR,,Italy,1971,110.82,5562.0
EUR,,Denmark,1971,43.34,4171.0
EUR,,Belgium,1971,47.26,4821.0
EUR,,France,1971,58.92,4172.0
EUR,,Germany,1971,47.18,5421.0
EUR,,Germany,1971,367.83,4235.0
EUR,,Italy,1971,113.53,5021.0
EUR,,Germany,1971,115.21,5531.0
EUR,,Germany,1971,63.31,4171.0
EUR,,Netherlands,1971,57.96,5422.0
EUR,,Belgium,1971,107.69,5531.0
EUR,,Belgium,1971,68.77,4232.0
EUR,,Germany,1971,119.02,4150.0
EUR,,Germany,1971,42.52,4821.0
EUR,,France,1971,124.39,4233.0
EUR,,Belgium,1971,9.4,5180.0
EUR,,Germany,1971,155.53,5571.0
EUR,,United Kingdom,1971,130.57,5415.0
EUR,,Germany,1971,58.97,4172.0
EUR,,Luxembourg,1971,10.21,5180.0
EUR,,Italy,1971,61.3,4821.0
EUR,,Germany,1971,110.54,5532.0
EUR,,Netherlands,1971,75.16,4162.0
EUR,,Germany,1971,52.67,4933.0
EUR,,Italy,1971,238.69,5517.0
EUR,,Germany,1971,86.68,5572.0
EUR,,Netherlands,1971,64.09,4172.0
EUR,,Germany,1971,71.18,4232.0
EUR,,Italy,1971,64.05,4171.0
EUR,,Italy,1971,158.41,5535.0
EUR,,France,1971,108.8,5571.0
EUR,,Italy,1971,151.31,5536.0
EUR,,France,1971,67.83,4171.0
EUR,,Netherlands,1971,108.0,5531.0
EUR,,United Kingdom,1971,52.41,4162.0
EUR,,United Kingdom,1971,63.51,4233.0
EUR,,Luxembourg,1971,59.17,4172.0
EUR,,Italy,1971,64.45,4733.0
EUR,,France,1971,42.62,4933.0
EUR,,France,1971,50.76,4821.0
EUR,,Italy,1971,196.91,5520.0
EUR,,Belgium,1971,415.34,4235.0
EUR,,France,1971,78.31,4733.0
EUR,,Luxembourg,1971,18.13,5411.0
EUR,,France,1971,109.32,4150.0
EUR,,Italy,1971,50.41,5630.0
EUR,,Denmark,1971,49.79,4180.0
